cgdivision,ownergroup,pmnum,pmdescription,jpdescription,nexttrigger,unitstogo,alias,assetdescription,locdescription,metername,lastreading,pmstatus,assetstatus,assetnum,frequency,tolerance,wonum,wodescription,reportdate,lastpmwogenread,dayslate,curjpdescription,unitslate
TRANSIT,TR-RALEIGH-WO,PM36737,8607 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1009954,-59899,8607,2012 - CONVENTIONAL NEW FLYER- 8607,DRT RALEIGH GARAGE,ODOMETER,1069853,ACTIVE,OPERATING,1200185,10000,1000,T1072959,8607 - SERVICE INSPECTION,2026-02-22 3:01,1069852,9,CONVENTIONAL NEW FLYER - B SERVICE,69899
TRANSIT,TR-RALEIGH-WO,PM36649,8574 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,826359,4988,8574,2017 - CONVENTIONAL NOVA  - 8574,DRT RALEIGH GARAGE,ODOMETER,821371,ACTIVE,OPERATING,1200163,10000,1000,T1072551,A service,2026-02-14 3:01,815841,17,CONVENTIONAL NOVA - A SERVICE,5012
TRANSIT,TR-RALEIGH-WO,PM36401,8509 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - C SERVICE,1185964,7326,8509,2011 - CONVENTIONAL NEW FLYER - 8509,DRT RALEIGH GARAGE,ODOMETER,1178638,ACTIVE,OPERATING,1200101,10000,1000,T1072636,8509 - SERVICE INSPECTION,2026-02-17 3:01,1175008,14,CONVENTIONAL NEW FLYER - A SERVICE,2674
TRANSIT,TR-WESTNEY-WO,PM36761,8613 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,997321,7327,8613,2012 - CONVENTIONAL NEW FLYER- 8613,DRT WESTNEY GARAGE,ODOMETER,989994,ACTIVE,OPERATING,1200191,10000,1000,T1072905,8613 - SERVICE INSPECTION,2026-02-21 3:02,986895,10,CONVENTIONAL NEW FLYER - A SERVICE,2673
TRANSIT,TR-WESTNEY-WO,PM62124,6128 - SERVICE INSPECTION,CONVENTIONAL NOVA HYBRID - C SERVICE,242559,7362,6128,2022 - CONVENTIONAL NOVA HYBRID - 6128,DRT WESTNEY GARAGE,ODOMETER,235197,ACTIVE,OPERATING,1540695,10000,1000,T1073100,6128 - SERVICE INSPECTION,2026-02-24 3:05,232268,7,CONVENTIONAL NOVA HYBRID - A SERVICE,2638
TRANSIT,TR-RALEIGH-WO,PM36713,8601 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1063863,7454,8601,2012 - CONVENTIONAL NEW FLYER- 8601,DRT RALEIGH GARAGE,ODOMETER,1056409,ACTIVE,OPERATING,1200179,10000,1000,T1073090,8601 - SERVICE INSPECTION,2026-02-24 3:02,1053791,7,CONVENTIONAL NEW FLYER - A SERVICE,2546
TRANSIT,TR-WESTNEY-WO,PM37340,7104 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,382028,7512,7104,2021 - CONVENTIONAL NOVA - 7104,DRT WESTNEY GARAGE,ODOMETER,374516,ACTIVE,OPERATING,1200431,10000,1000,T1072713,7104 - SERVICE INSPECTION,2026-02-18 3:03,371265,13,CONVENTIONAL NOVA - D SERVICE,2488
TRANSIT,TR-WESTNEY-WO,PM63954,6142 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,158180,7636,6142,2024 - CONVENTIONAL NOVA - 6142,DRT WESTNEY GARAGE,ODOMETER,150544,ACTIVE,OPERATING,1565626,10000,1000,T1073081,6142 - SERVICE INSPECTION,2026-02-24 3:00,147861,7,CONVENTIONAL NOVA - A SERVICE,2364
TRANSIT,TR-WESTNEY-WO,PM61471,7119 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,389502,7649,7119,2022 - CONVENTIONAL NOVA - 7119,DRT WESTNEY GARAGE,ODOMETER,381853,ACTIVE,OPERATING,1250280,10000,1000,T1073082,7119 - SERVICE INSPECTION,2026-02-24 3:00,380724,7,CONVENTIONAL NOVA - A SERVICE,2351
TRANSIT,TR-WESTNEY-WO,PM36541,8544 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,912022,7799,8544,2014 - CONVENTIONAL NEW FLYER - 8544,DRT WESTNEY GARAGE,ODOMETER,904223,ACTIVE,OPERATING,1200136,10000,1000,T1072902,8544 - SERVICE INSPECTION,2026-02-21 3:01,901340,10,CONVENTIONAL NEW FLYER - D SERVICE,2201
TRANSIT,TR-WESTNEY-WO,PM36537,8543 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,870962,7835,8543,2013 - CONVENTIONAL NEW FLYER - 8543,DRT WESTNEY GARAGE,ODOMETER,863127,ACTIVE,OPERATING,1200135,10000,1000,T1073088,8543 - SERVICE INSPECTION,2026-02-24 3:02,860968,7,CONVENTIONAL NEW FLYER - B SERVICE,2165
TRANSIT,TR-WESTNEY-WO,PM36057,7101 - SERVICE INSPECTION,CONVENTIONAL NOVA - C SERVICE,560115,7901,7101,2018 - CONVENTIONAL NOVA - 7101,DRT WESTNEY GARAGE,ODOMETER,552214,ACTIVE,OPERATING,1200315,10000,1000,T1073083,7101 - SERVICE INSPECTION,2026-02-24 3:01,550103,7,CONVENTIONAL NOVA - A SERVICE,2099
TRANSIT,TR-WESTNEY-WO,PM37396,7108 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,404295,7943,7108,2021 - CONVENTIONAL NOVA - 7108,DRT WESTNEY GARAGE,ODOMETER,396352,ACTIVE,OPERATING,1200445,10000,1000,T1072912,7108 - SERVICE INSPECTION,2026-02-21 3:04,393868,10,CONVENTIONAL NOVA - B SERVICE,2057
